,Product,Quantity,Value,date,year,month,day,price
554,Rails Standard,16350,16072,2014-03-15,2014,3,15,0.9829969418960245
555,Rails All Other,1516,1782,2014-03-15,2014,3,15,1.175461741424802
556,Railroad Accessories,633,918,2014-03-15,2014,3,15,1.4502369668246446
557,Bars - Hot Rolled,120689,129248,2014-03-15,2014,3,15,1.070917813553845
558,Bars - Light Shaped,11627,11222,2014-03-15,2014,3,15,0.9651672830480778
559,Bars - Reinforcing,139004,85425,2014-03-15,2014,3,15,0.6145506604126499
560,Bars - Cold Finished,29940,74578,2014-03-15,2014,3,15,2.4909151636606546
561,Tool Steel,12142,34616,2014-03-15,2014,3,15,2.8509306539285126
562,Standard Pipe,55451,69627,2014-03-15,2014,3,15,1.255649131665795
563,Oil Country Goods,231151,320769,2014-03-15,2014,3,15,1.3877032762133843
564,Line Pipe > 16 Inches In Diameter,63333,77218,2014-03-15,2014,3,15,1.2192379959894526
565,Line Pipe <= 16 Inches In Diameter,29061,41743,2014-03-15,2014,3,15,1.4363924159526513
566,Line Pipe - Not Specified,37189,33030,2014-03-15,2014,3,15,0.8881658554949045
567,Mechanical Tubing,51817,89169,2014-03-15,2014,3,15,1.7208445104888357
568,Pressure Tubing,4389,9220,2014-03-15,2014,3,15,2.100706311232627
569,Stainless Pipe & Tubing,10465,89073,2014-03-15,2014,3,15,8.511514572384138
570,Pipe & Tubing Nonclassified,1708,4225,2014-03-15,2014,3,15,2.4736533957845435
571,Structural Pipe & Tube,34634,40138,2014-03-15,2014,3,15,1.1589189813478085
572,Pipe For Piling,1063,893,2014-03-15,2014,3,15,0.8400752587017873
573,Wire Drawn,62779,92665,2014-03-15,2014,3,15,1.4760509087433695
574,Black Plate,3499,2585,2014-03-15,2014,3,15,0.7387825092883681
575,Tin Plate,54948,60126,2014-03-15,2014,3,15,1.0942345490281722
576,Tin Free Steel,10599,12084,2014-03-15,2014,3,15,1.140107557316728
577,Sheets Hot Rolled,281847,190475,2014-03-15,2014,3,15,0.6758099252431283
578,Sheets Cold Rolled,184899,197245,2014-03-15,2014,3,15,1.0667715888133522
579,Sheets & Strip Galv Hot Dipped,214493,197152,2014-03-15,2014,3,15,0.9191535388101243
580,Sheets & Strip Galv Electrolyt,12132,12596,2014-03-15,2014,3,15,1.0382459610946257
