,Country_Area,Quantity,Value,year,month,day,date,price
158,Germany,126726.0,167172.0,2013,4,15,2013-04-15,1.3191610245727001
159,Italy,64378.0,106390.0,2013,4,15,2013-04-15,1.6525831805896425
160,Netherlands,50286.0,38590.0,2013,4,15,2013-04-15,0.7674104124408384
161,Poland,554.0,930.0,2013,4,15,2013-04-15,1.6787003610108304
162,Spain,11057.0,21895.0,2013,4,15,2013-04-15,1.9801935425522295
163,Sweden,20975.0,45678.0,2013,4,15,2013-04-15,2.177735399284863
164,United Kingdom,34942.0,48621.0,2013,4,15,2013-04-15,1.391477305248698
165,Other EU,29584.0,38475.0,2013,4,15,2013-04-15,1.3005340724716064
166,Norway,1132.0,2018.0,2013,4,15,2013-04-15,1.7826855123674912
167,Russia,126466.0,83240.0,2013,4,15,2013-04-15,0.6582006230923727
168,Switzerland,1323.0,4002.0,2013,4,15,2013-04-15,3.0249433106575965
169,Turkey,60176.0,48216.0,2013,4,15,2013-04-15,0.8012496676415847
170,Ukraine,8948.0,14452.0,2013,4,15,2013-04-15,1.6151095216808224
171,Other Europe,9729.0,11734.0,2013,4,15,2013-04-15,1.2060849008120054
172,Euro Area,368021.0,512961.0,2013,4,15,2013-04-15,1.3938362213025888
173,Pacific Rim Countries,744651.0,771570.0,2013,4,15,2013-04-15,1.0361498205199482
174,Australia,20234.0,11977.0,2013,4,15,2013-04-15,0.5919244835425521
175,China,101218.0,118247.0,2013,4,15,2013-04-15,1.1682408267304234
176,Indonesia,611.0,2480.0,2013,4,15,2013-04-15,4.058919803600655
177,Japan,260838.0,290441.0,2013,4,15,2013-04-15,1.1134918991864682
178,Countries(NICS),343719.0,334491.0,2013,4,15,2013-04-15,0.9731524879334573
179,Hong Kong,114.0,129.0,2013,4,15,2013-04-15,1.131578947368421
180,Korea,270049.0,234055.0,2013,4,15,2013-04-15,0.8667130779969561
181,Singapore,22.0,89.0,2013,4,15,2013-04-15,4.045454545454546
182,Taiwan,73535.0,100219.0,2013,4,15,2013-04-15,1.3628748215135649
183,Other Pacific Rim,18032.0,13933.0,2013,4,15,2013-04-15,0.7726818988464951
184,South/Central America,318691.0,194812.0,2013,4,15,2013-04-15,0.6112880501802687
185,Argentina,8571.0,15791.0,2013,4,15,2013-04-15,1.8423754521059386
186,Brazil,307443.0,176021.0,2013,4,15,2013-04-15,0.5725321441698136
187,Chile,,,2013,4,15,2013-04-15,
188,Colombia,234.0,240.0,2013,4,15,2013-04-15,1.0256410256410255
189,Venezuela,,,2013,4,15,2013-04-15,
190,Other S/C America,2443.0,2760.0,2013,4,15,2013-04-15,1.1297584936553418
191,Other Countries,92314.0,122613.0,2013,4,15,2013-04-15,1.3282167385228676
192,India,54340.0,74673.0,2013,4,15,2013-04-15,1.374181082075819
193,South Africa,4570.0,7436.0,2013,4,15,2013-04-15,1.6271334792122538
194,Thailand,11815.0,14551.0,2013,4,15,2013-04-15,1.2315700380871772
195,Other,21589.0,25952.0,2013,4,15,2013-04-15,1.2020936588077262
196,Total Census Basis,2574859.0,2562339.0,2013,5,15,2013-05-15,0.9951375978257451
197,North America,672565.0,660583.0,2013,5,15,2013-05-15,0.9821846215607414
198,Canada,414674.0,431951.0,2013,5,15,2013-05-15,1.0416640541726754
199,Mexico,257891.0,228632.0,2013,5,15,2013-05-15,0.8865450907553967
200,Europe,679161.0,785961.0,2013,5,15,2013-05-15,1.1572528457906153
201,European Union,380349.0,580894.0,2013,5,15,2013-05-15,1.5272657480366716
202,Austria,17475.0,38126.0,2013,5,15,2013-05-15,2.1817453505007154
203,Belgium,7806.0,12424.0,2013,5,15,2013-05-15,1.5915962080450936
204,Czech Republic,29592.0,42286.0,2013,5,15,2013-05-15,1.4289672884563396
205,Finland,2965.0,7645.0,2013,5,15,2013-05-15,2.578414839797639
206,France,15213.0,37255.0,2013,5,15,2013-05-15,2.44889239466246
207,Germany,57873.0,104594.0,2013,5,15,2013-05-15,1.8073021961882052
208,Italy,67856.0,105891.0,2013,5,15,2013-05-15,1.5605252298986088
209,Netherlands,45669.0,36527.0,2013,5,15,2013-05-15,0.7998204471304385
210,Poland,663.0,760.0,2013,5,15,2013-05-15,1.1463046757164403
211,Spain,27143.0,34805.0,2013,5,15,2013-05-15,1.2822827248277642
212,Sweden,16878.0,43335.0,2013,5,15,2013-05-15,2.567543547813722
213,United Kingdom,47230.0,60893.0,2013,5,15,2013-05-15,1.2892864704636884
214,Other EU,43986.0,56353.0,2013,5,15,2013-05-15,1.2811576410676124
215,Norway,62.0,266.0,2013,5,15,2013-05-15,4.290322580645161
216,Russia,125616.0,79143.0,2013,5,15,2013-05-15,0.6300391669850974
217,Switzerland,1028.0,3768.0,2013,5,15,2013-05-15,3.6653696498054473
218,Turkey,155447.0,99891.0,2013,5,15,2013-05-15,0.6426048749734636
219,Ukraine,13060.0,17811.0,2013,5,15,2013-05-15,1.3637825421133232
220,Other Europe,3599.0,4188.0,2013,5,15,2013-05-15,1.1636565712697973
221,Euro Area,276554.0,418498.0,2013,5,15,2013-05-15,1.5132596165667465
222,Pacific Rim Countries,688777.0,723697.0,2013,5,15,2013-05-15,1.0506985570075655
223,Australia,111.0,241.0,2013,5,15,2013-05-15,2.171171171171171
224,China,168310.0,168460.0,2013,5,15,2013-05-15,1.0008912126433367
225,Indonesia,1075.0,2440.0,2013,5,15,2013-05-15,2.269767441860465
226,Japan,190051.0,218065.0,2013,5,15,2013-05-15,1.1474025393183935
227,Countries(NICS),296962.0,308782.0,2013,5,15,2013-05-15,1.0398030724469798
228,Hong Kong,129.0,145.0,2013,5,15,2013-05-15,1.124031007751938
229,Korea,254692.0,240121.0,2013,5,15,2013-05-15,0.9427897224883388
230,Singapore,37.0,148.0,2013,5,15,2013-05-15,4.0
231,Taiwan,42104.0,68369.0,2013,5,15,2013-05-15,1.6238124643739311
232,Other Pacific Rim,32269.0,25710.0,2013,5,15,2013-05-15,0.7967399051721467
233,South/Central America,422239.0,259441.0,2013,5,15,2013-05-15,0.6144411103664038
234,Argentina,17548.0,31938.0,2013,5,15,2013-05-15,1.8200364713927513
235,Brazil,396531.0,220702.0,2013,5,15,2013-05-15,0.5565819570222756
236,Chile,,,2013,5,15,2013-05-15,
237,Colombia,1358.0,1917.0,2013,5,15,2013-05-15,1.4116347569955818
238,Venezuela,,,2013,5,15,2013-05-15,
239,Other S/C America,6803.0,4884.0,2013,5,15,2013-05-15,0.7179185653388211
240,Other Countries,112118.0,132656.0,2013,5,15,2013-05-15,1.1831820046736474
241,India,77454.0,94406.0,2013,5,15,2013-05-15,1.2188653910708291
242,South Africa,1840.0,2273.0,2013,5,15,2013-05-15,1.2353260869565217
243,Thailand,1997.0,3945.0,2013,5,15,2013-05-15,1.9754631947921883
244,Other,30826.0,32033.0,2013,5,15,2013-05-15,1.039155258547979
245,Total Census Basis,2231754.0,2284856.0,2013,6,15,2013-06-15,1.0237938410774665
246,North America,744138.0,660593.0,2013,6,15,2013-06-15,0.8877291577637482
247,Canada,418545.0,410081.0,2013,6,15,2013-06-15,0.9797775627471359
248,Mexico,325594.0,250512.0,2013,6,15,2013-06-15,0.7693999275170919
249,Europe,579532.0,742939.0,2013,6,15,2013-06-15,1.2819637224519094
250,European Union,385385.0,593786.0,2013,6,15,2013-06-15,1.5407605381631355
251,Austria,23560.0,44106.0,2013,6,15,2013-06-15,1.8720713073005093
252,Belgium,6545.0,13583.0,2013,6,15,2013-06-15,2.0753246753246755
253,Czech Republic,13528.0,20001.0,2013,6,15,2013-06-15,1.4784890597279716
254,Finland,4836.0,8433.0,2013,6,15,2013-06-15,1.7437965260545907
255,France,24510.0,41538.0,2013,6,15,2013-06-15,1.694736842105263
256,Germany,96417.0,149636.0,2013,6,15,2013-06-15,1.551966976777954
257,Italy,47237.0,86067.0,2013,6,15,2013-06-15,1.8220251074369669
258,Netherlands,55918.0,44713.0,2013,6,15,2013-06-15,0.799617296755964
259,Poland,3884.0,3916.0,2013,6,15,2013-06-15,1.008238928939238
260,Spain,25496.0,35576.0,2013,6,15,2013-06-15,1.3953561342955758
261,Sweden,26138.0,57646.0,2013,6,15,2013-06-15,2.2054480067334916
262,United Kingdom,14383.0,33864.0,2013,6,15,2013-06-15,2.3544462212334007
263,Other EU,42932.0,54706.0,2013,6,15,2013-06-15,1.274247647442467
264,Norway,1002.0,2134.0,2013,6,15,2013-06-15,2.129740518962076
